representation,beta,R0,R_stress_eta0p1,R_stress_eta0p2,info_cost,turnover,exec_cost,stress_lift_eta0p1
greeks,0.000,7.199508,8.710681,9.424745,11.586059,0.025474,0.000097,1.511173
greeks,0.010,7.199508,8.710681,9.424745,11.586059,0.025474,0.000097,1.511173
greeks,0.030,7.199508,8.710681,9.424745,11.586059,0.025474,0.000097,1.511173
greeks,0.060,7.199508,8.710681,9.424745,11.586059,0.025474,0.000097,1.511173
greeks,0.100,7.201532,9.415109,10.490991,6.517158,0.019105,0.000054,2.213577
greeks,0.200,7.206587,10.304070,11.817476,2.896515,0.012737,0.000024,3.097483
greeks,0.400,7.214685,11.249766,13.211877,0.724129,0.006368,0.000006,4.035082
greeks,0.600,7.214685,11.249766,13.211877,0.724129,0.006368,0.000006,4.035082
greeks,0.800,7.214685,11.249766,13.211877,0.724129,0.006368,0.000006,4.035082
greeks,1.000,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
greeks,1.200,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
micro,0.000,6.630007,10.623233,12.466241,8.600774,0.258428,0.007219,3.993226
micro,0.010,6.630007,10.623233,12.466241,8.600774,0.258428,0.007219,3.993226
micro,0.030,7.095393,10.839927,12.605836,2.150194,0.129214,0.001805,3.744534
micro,0.060,7.095393,10.839927,12.605836,2.150194,0.129214,0.001805,3.744534
micro,0.100,7.095393,10.839927,12.605836,2.150194,0.129214,0.001805,3.744534
micro,0.200,7.095393,10.839927,12.605836,2.150194,0.129214,0.001805,3.744534
micro,0.400,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
micro,0.600,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
micro,0.800,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
micro,1.000,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
micro,1.200,7.225838,12.214953,14.640517,0.000000,0.000000,0.000000,4.989115
combined,0.000,7.069949,8.916734,9.792947,25.240409,0.100178,0.001092,1.846786
combined,0.010,7.179596,8.872928,9.630214,9.251647,0.087059,0.000721,1.693332
combined,0.030,7.179596,8.872928,9.630214,9.251647,0.087059,0.000721,1.693332
combined,0.060,7.176084,9.382891,10.400267,4.385502,0.084609,0.000712,2.206807
combined,0.100,7.176084,9.382891,10.400267,4.385502,0.084609,0.000712,2.206807
combined,0.200,7.176084,9.382891,10.400267,4.385502,0.084609,0.000712,2.206807
combined,0.400,7.176934,10.359878,11.881767,1.604848,0.082888,0.000719,3.182944
combined,0.600,7.176934,10.359878,11.881767,1.604848,0.082888,0.000719,3.182944
combined,0.800,7.176934,10.359878,11.881767,1.604848,0.082888,0.000719,3.182944
combined,1.000,7.176934,10.359878,11.881767,1.604848,0.082888,0.000719,3.182944
combined,1.200,7.176934,10.359878,11.881767,1.604848,0.082888,0.000719,3.182944
